date,oecd_diffusion_return
1974-03-31,0.006655524964741755
1974-04-30,0.006968653737237984
1974-05-31,0.007206014045425091
1974-06-30,0.006290144098738848
1974-07-31,0.006609250455007265
1974-08-31,0.007849891727913727
1974-09-30,0.006417875769950898
1974-10-31,0.006533776657071222
1974-11-30,0.0053523698699906586
1974-12-31,0.005976465759165217
1975-01-31,0.0054761629726716166
1975-02-28,0.00393586753342734
1975-03-31,0.004368563113742896
1975-04-30,0.045170374372995425
1975-05-31,0.04410078281255614
1975-06-30,0.04432255455728473
1975-07-31,-0.06765418926604594
1975-08-31,-0.021070453482614382
1975-09-30,-0.03464542589770292
1975-10-31,0.06164299510716331
1975-11-30,0.024707961878047024
1975-12-31,-0.011508060575921575
1976-01-31,0.11830577536437414
1976-02-29,-0.011401958347409424
1976-03-31,0.030688973891187743
