"Date","Price","Open","High","Low","Change %"
"Oct 16","-0.749","-0.780","-0.704","-0.882","-4.59%"
"Sep 16","-0.785","-0.849","-0.375","-0.849","-2.97%"
"Aug 16","-0.809","-0.742","-0.687","-0.815","9.77%"
"Jul 16","-0.737","-0.556","-0.555","-0.844","13.56%"
"Jun 16","-0.649","-0.551","-0.528","-0.651","15.07%"
"May 16","-0.564","-0.615","-0.500","-0.615","0.89%"
"Apr 16","-0.559","-0.579","-0.474","-0.634","0.00%"
"Mar 16","-0.559","-0.567","-0.491","-0.607","2.19%"
"Feb 16","-0.547","-0.397","-0.349","-0.575","38.48%"
"Jan 16","-0.395","-0.533","-0.309","-0.586","-34.60%"
"Dec 15","-0.604","-0.392","-0.278","-0.604","54.48%"
"Nov 15","-0.391","-0.291","-0.253","-0.442","4.27%"
"Oct 15","-0.375","-0.320","-0.182","-0.375","17.55%"
"Sep 15","-0.319","-0.226","-0.186","-0.323","7.77%"
"Aug 15","-0.296","-0.284","-0.231","-0.332","4.96%"
"Jul 15","-0.282","-0.291","-0.267","-0.410","151.79%"
"Jun 15","-0.112","-0.272","-0.112","-0.275","-58.82%"
"May 15","-0.272","-0.374","-0.269","-0.384","-26.88%"
"Apr 15","-0.372","-0.244","-0.161","-0.382","53.09%"
"Mar 15","-0.243","-0.213","-0.170","-0.285","14.08%"
"Feb 15","-0.213","-0.173","-0.159","-0.286","23.84%"
"Jan 15","-0.172","-0.127","-0.103","-0.216","-31.75%"
"Dec 14","-0.252","-0.084","-0.021","-0.262","193.02%"
"Nov 14","-0.086","-0.123","-0.075","-0.164","-37.23%"
"Oct 14","-0.137","-0.067","-0.020","-0.155","87.67%"
"Sep 14","-0.073","-0.031","-0.015","-0.120","192.00%"
"Aug 14","-0.025","0.029","0.030","-0.075","-186.21%"
"Jul 14","0.029","-0.033","0.031","-0.062","-207.41%"
"Jun 14","-0.027","0.005","0.060","-0.041","-144.26%"
"May 14","0.061","-0.005","0.075","-0.005","-1,320.00%"
"Apr 14","-0.005","0.118","0.155","-0.005","-104.17%"
"Mar 14","0.120","0.098","0.190","0.073","48.15%"
"Feb 14","0.081","0.058","0.116","0.057","-21.36%"
"Jan 14","0.103","0.122","0.122","0.040","-8.04%"
"Dec 13","0.112","0.080","0.178","0.039","60.00%"
"Nov 13","0.070","0.031","0.102","0.015","125.81%"
"Oct 13","0.031","0.059","0.060","0.004","55.00%"
"Sep 13","0.020","0.014","0.061","0.002","33.33%"
"Aug 13","0.015","0.040","0.109","-0.011","-60.53%"
"Jul 13","0.038","0.026","0.159","-0.025","660.00%"
"Jun 13","0.005","0.010","0.107","-0.011","-350.00%"
"May 13","-0.002","0.017","0.091","-0.013","-112.50%"
"Apr 13","0.016","0.073","0.114","-0.009","0.00%"
"Mar 13","0.000","0.015","0.098","0.004","-100.00%"
"Feb 13","0.015","0.051","0.251","0.005","-70.00%"
"Jan 13","0.050","0.005","0.149","-0.006","0.00%"
"Dec 12","0.000","-0.026","0.275","-0.036","-100.00%"
"Nov 12","-0.027","0.005","0.279","-0.077","-640.00%"
"Oct 12","0.005","0.006","0.157","-0.068","-16.67%"
"Sep 12","0.006","-0.095","0.132","-0.097","-106.32%"
"Aug 12","-0.095","-0.002","0.212","-0.175","9,400.00%"
"Jul 12","-0.001","0.015","0.039","-0.187","-106.67%"
"Jun 12","0.015","0.046","0.068","-0.073","-16.67%"
"May 12","0.018","0.090","0.105","-0.009","-1,000.00%"
"Apr 12","-0.002","0.041","0.106","-0.002","-103.57%"
"Mar 12","0.056","0.181","0.192","0.006","9.80%"
"Feb 12","0.051","0.100","0.205","0.008","59.37%"
"Jan 12","0.032","-0.176","0.099","-0.207","-136.78%"
"Dec 11","-0.087","0.015","0.360","-0.180","-400.00%"
"Nov 11","0.029","0.235","0.348","-0.053","-88.93%"
"Oct 11","0.262","0.234","0.393","0.223","5.65%"
"Sep 11","0.248","0.432","0.568","0.150","-42.99%"
"Aug 11","0.435","0.752","0.965","0.379","-56.97%"
"Jul 11","1.011","1.052","1.151","0.752","-3.44%"
"Jun 11","1.047","0.870","1.168","0.870","19.93%"
"May 11","0.873","0.845","0.950","0.756","3.56%"
"Apr 11","0.843","0.701","0.857","0.636","18.57%"
"Mar 11","0.711","0.517","0.766","0.514","36.73%"
