Date,Price,Open,High,Low,Change %
02/01/18,-0.7,-0.684,-0.605,-0.868,2.49%
03/01/18,-0.786,-0.705,-0.684,-0.866,12.29%
04/01/18,-0.676,-0.78,-0.669,-0.8,-13.99%
05/01/18,-0.644,-0.689,-0.59,-0.703,-4.73%
06/01/18,-0.589,-0.641,-0.56,-0.661,-8.54%
07/01/18,-0.589,-0.65,-0.55,-0.675,0.00%
08/01/18,-0.582,-0.566,-0.519,-0.675,-1.19%
09/01/18,-0.577,-0.517,-0.515,-0.634,-0.86%
10/01/18,-0.842,-0.575,-0.505,-0.87,45.93%
11/01/18,-0.749,-0.848,-0.624,-0.85,-11.05%
12/01/18,-0.845,-0.753,-0.621,-1.001,12.82%
01/01/19,-0.546,-0.849,-0.5,-0.854,-35.38%
02/01/19,-0.534,-0.527,-0.501,-0.561,-2.20%
03/01/19,-0.543,-0.539,-0.489,-0.571,1.69%
04/01/19,-0.571,-0.539,-0.482,-0.578,5.16%
05/01/19,-0.557,-0.571,-0.504,-0.588,-2.45%
06/01/19,-0.525,-0.56,-0.512,-0.581,-5.75%
07/01/19,-0.528,-0.553,-0.509,-0.627,0.57%
08/01/19,-0.73,-0.542,-0.517,-0.741,38.26%
09/01/19,-0.578,-0.736,-0.48,-0.74,-20.82%
10/01/19,-0.593,-0.564,-0.549,-0.64,2.60%
11/01/19,-0.621,-0.6,-0.568,-0.627,4.72%
12/01/19,-0.722,-0.625,-0.622,-0.801,16.26%
01/01/20,-0.57,-0.705,-0.5,-0.705,-21.05%
02/01/20,-0.59,-0.57,-0.546,-0.628,3.51%
03/01/20,-0.65,-0.599,-0.598,-0.837,10.17%
04/01/20,-0.552,-0.689,-0.51,-0.729,-15.08%
05/01/20,-0.575,-0.566,-0.481,-0.59,4.17%
06/01/20,-0.564,-0.53,-0.495,-0.586,-1.91%
07/01/20,-0.577,-0.558,-0.55,-0.59,2.30%
08/01/20,-0.57,-0.577,-0.52,-0.601,-1.30%
09/01/20,-0.614,-0.604,-0.489,-0.629,7.90%
10/01/20,-0.752,-0.612,-0.582,-0.778,22.29%
11/01/20,-0.733,-0.774,-0.661,-0.807,-2.53%
12/01/20,-0.794,-0.733,-0.663,-0.858,8.40%
01/01/21,-0.644,-0.803,-0.596,-0.828,-18.89%
02/01/21,-0.577,-0.648,-0.577,-0.668,-10.33%
03/01/21,-0.664,-0.618,-0.578,-0.669,14.98%
04/01/21,-0.641,-0.669,-0.604,-0.679,-3.46%
05/01/21,-0.655,-0.641,-0.609,-0.665,2.18%
06/01/21,-0.663,-0.637,-0.624,-0.684,1.22%
07/01/21,-0.67,-0.669,-0.632,-0.683,1.13%
08/01/21,-0.676,-0.685,-0.649,-0.706,0.82%
09/01/21,-0.674,-0.68,-0.646,-0.694,-0.22%
10/01/21,-0.859,-0.682,-0.659,-0.86,27.28%
11/01/21,-0.989,-0.827,-0.739,-1.033,15.26%
12/01/21,-0.767,-0.971,-0.672,-1.021,-22.49%
01/01/22,-0.666,-0.767,-0.628,-0.842,-13.10%
02/01/22,-0.749,-0.666,-0.636,-0.756,12.45%
03/01/22,-0.655,-0.75,-0.637,-0.816,-12.54%
04/01/22,-0.706,-0.655,-0.638,-0.739,7.63%
05/01/22,-0.514,-0.706,-0.496,-0.729,-27.14%
06/01/22,-0.498,-0.499,-0.445,-0.655,-3.21%
07/01/22,-0.06,-0.506,0.002,-0.586,-87.94%
08/01/22,0.026,-0.06,0.167,-0.161,-144.17%
09/01/22,0.789,0.027,0.803,0.014,2879.25%
10/01/22,0.969,0.806,1.009,0.702,22.67%
11/01/22,1.517,0.998,1.594,0.97,56.63%
12/01/22,1.871,1.543,1.887,1.469,23.34%
01/01/23,2.17,1.883,2.234,1.781,15.98%
02/01/23,2.589,2.201,6.677,2.164,19.31%
